name,technology,bidding_EOM,bidding_CRM_pos,bidding_CRM_neg,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,heat_extraction,max_heat_extraction,unit_operator
Farakka STPS Stage I Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,200,80,0.4,,,,,,,,,,,Farakka STPS
Farakka STPS Stage II Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Farakka STPS
Farakka STPS Stage II Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Farakka STPS
Farakka STPS Stage III Unit 6,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Farakka STPS
Gadarwara Super Thermal Power Station Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Gadarwara STPS
Gadarwara Super Thermal Power Station Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Gadarwara STPS
Gandhi Nagar Thermal Power Station Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Gandhi Nagar TPS
Gandhi Nagar Thermal Power Station Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Gandhi Nagar TPS
Gandhi Nagar Thermal Power Station Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Gandhi Nagar TPS
Ghatampur TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Ghatampur TPP
Ghatampur TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Ghatampur TPP
Giral Lignite Power Station Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,125,50,0.4,,,,,,,,,,,Giral Lignite TPS
Giral Lignite Power Station Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,125,50,0.4,,,,,,,,,,,Giral Lignite TPS
Goindwal Sahib TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,270,108,0.4,,,,,,,,,,,Goindwal Sahib TPP
Goindwal Sahib TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,270,108,0.4,,,,,,,,,,,Goindwal Sahib TPP
Gupta Energy Thermal Plant Phase I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,60,24,0.4,,,,,,,,,,,Gupta Energy or GEPL TPP
Gupta Energy Thermal Plant Phase I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,60,24,0.4,,,,,,,,,,,Gupta Energy or GEPL TPP
Guru Hargobind Thermal Power Station Stage I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Guru Hargobind TPS
Guru Hargobind Thermal Power Station Stage I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Guru Hargobind TPS
Guru Hargobind Thermal Power Station Stage II Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Guru Hargobind TPS
Guru Hargobind Thermal Power Station Stage II Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Guru Hargobind TPS
Haldia TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,Haldia TPP
Haldia TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,Haldia TPP
Harduaganj TPS Phase I Unit 7,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,105,42,0.4,,,,,,,,,,,Harduaganj TPS
Harduaganj TPS Phase I Unit 8,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Harduaganj TPS
Harduaganj TPS Phase I Unit 9,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Harduaganj TPS
Harduaganj TPS Phase II Unit 10,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Harduaganj TPS
Hiranmaye Thermal Power Plant Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,150,60,0.4,,,,,,,,,,,Hiranmaye TPP
Hiranmaye Thermal Power Plant Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,150,60,0.4,,,,,,,,,,,Hiranmaye TPP
IB Valley Thermal Power Station / Banharpali TPS Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,IB Valley TPS
IB Valley Thermal Power Station / Banharpali TPS Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,IB Valley TPS
IB Valley Thermal Power Station / Banharpali TPS Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,IB Valley TPS
IB Valley Thermal Power Station / Banharpali TPS Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,IB Valley TPS
ITPCL or Cuddalore Thermal Power Project Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,600,240,0.4,,,,,,,,,,,ITPCL or Cuddalore TPP
ITPCL or Cuddalore Thermal Power Project Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,600,240,0.4,,,,,,,,,,,ITPCL or Cuddalore TPP
Ind Barath (Utkal)/JSW Energy (Utkal) Ltd. Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,350,140,0.4,,,,,,,,,,,Ind Barath (Utkal)/JSW Energy (Utkal) Ltd.
Ind Barath (Utkal)/JSW Energy (Utkal) Ltd. Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,350,140,0.4,,,,,,,,,,,Ind Barath (Utkal)/JSW Energy (Utkal) Ltd.
Indira Gandhi Super Thermal Power Project Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Indira Gandhi STPP
Indira Gandhi Super Thermal Power Project Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Indira Gandhi STPP
Indira Gandhi Super Thermal Power Project Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Indira Gandhi STPP
JSW Ratnagiri Thermal Power Plant Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,JSW Ratnagiri TPP
Jalipa- Kapurdi TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,135,54,0.4,,,,,,,,,,,Jalipa- Kapurdi TPP
Jalipa- Kapurdi TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,135,54,0.4,,,,,,,,,,,Jalipa- Kapurdi TPP
Jalipa- Kapurdi TPP Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,135,54,0.4,,,,,,,,,,,Jalipa- Kapurdi TPP
Jalipa- Kapurdi TPP Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,135,54,0.4,,,,,,,,,,,Jalipa- Kapurdi TPP
Jalipa- Kapurdi TPP Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,135,54,0.4,,,,,,,,,,,Jalipa- Kapurdi TPP
Jalipa- Kapurdi TPP Unit 6,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,135,54,0.4,,,,,,,,,,,Jalipa- Kapurdi TPP
Jalipa- Kapurdi TPP Unit 7,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,135,54,0.4,,,,,,,,,,,Jalipa- Kapurdi TPP
Jalipa- Kapurdi TPP Unit 8,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,135,54,0.4,,,,,,,,,,,Jalipa- Kapurdi TPP
Jawaharpur STPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Jawaharpur STPP
Jawaharpur STPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Jawaharpur STPP
Jaypee Nigrie Super Thermal Power Project Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Jaypee Nigrie STPP
Jaypee Nigrie Super Thermal Power Project Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Jaypee Nigrie STPP
Jojobera TPS Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,120,48,0.4,,,,,,,,,,,Jojobera TPS
Jojobera TPS Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,120,48,0.4,,,,,,,,,,,Jojobera TPS
Kahalgaon STPS Stage I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Kahalgaon STPS
Kahalgaon STPS Stage I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Kahalgaon STPS
Kahalgaon STPS Stage I Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Kahalgaon STPS
Kahalgaon STPS Stage I Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Kahalgaon STPS
Kahalgaon STPS Stage II Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Kahalgaon STPS
Kahalgaon STPS Stage II Unit 6,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Kahalgaon STPS
Kahalgaon STPS Stage II Unit 7,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Kahalgaon STPS
Kakatiya Thermal Power Station Stage I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Kakatiya TPS
Kakatiya Thermal Power Station Stage II Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,600,240,0.4,,,,,,,,,,,Kakatiya TPS
Kalisindh Supercritical Thermal Power Station Stage I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,600,240,0.4,,,,,,,,,,,Kalisindh STPS
Kalisindh Supercritical Thermal Power Station Stage I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,600,240,0.4,,,,,,,,,,,Kalisindh STPS
Kamalanga TPS Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,350,140,0.4,,,,,,,,,,,Kamalanga TPS
Kamalanga TPS Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,350,140,0.4,,,,,,,,,,,Kamalanga TPS
Kamalanga TPS Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,350,140,0.4,,,,,,,,,,,Kamalanga TPS
Kasaipalli TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,135,54,0.4,,,,,,,,,,,Kasaipalli TPP
Kasaipalli TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,135,54,0.4,,,,,,,,,,,Kasaipalli TPP
Kawai Thermal Power Station Phase I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Kawai TPS
Kawai Thermal Power Station Phase I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Kawai TPS
Khamberkhera TPS Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,45,18,0.4,,,,,,,,,,,Khamberkhera TPS
Khamberkhera TPS Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,45,18,0.4,,,,,,,,,,,Khamberkhera TPS
Khaparkheda TPS Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Khaparkheda TPS
Khaparkheda TPS Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Khaparkheda TPS
Khaparkheda TPS Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Khaparkheda TPS
Khaparkheda TPS Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Khaparkheda TPS
Khaparkheda TPS Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Khaparkheda TPS
Khargone Super Critical Power Plant Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Khargone Super Critical Power Plant
Khargone Super Critical Power Plant Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Khargone Super Critical Power Plant
Khurja Power Project Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Khurja Power Project
Khurja Power Project Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Khurja Power Project
Kodarma TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Kodarma TPP
Kodarma TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Kodarma TPP
Kolaghat Thermal Power Station Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Kolaghat TPS
Kolaghat Thermal Power Station Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Kolaghat TPS
Kolaghat Thermal Power Station Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Kolaghat TPS
Kolaghat Thermal Power Station Unit 6,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Kolaghat TPS
Koradi Thermal Power Station Unit 6,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Koradi TPS
Koradi Thermal Power Station Unit 8,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Koradi TPS
Koradi Thermal Power Station Unit 9,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Koradi TPS
Koradi Thermal Power Station Unit 10,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Koradi TPS
Korba Super Thermal Power Plant Stage I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,200,80,0.4,,,,,,,,,,,Korba STPS
Korba Super Thermal Power Plant Stage I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,200,80,0.4,,,,,,,,,,,Korba STPS
Korba Super Thermal Power Plant Stage I Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,200,80,0.4,,,,,,,,,,,Korba STPS
Korba Super Thermal Power Plant Stage II Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Korba STPS
Korba Super Thermal Power Plant Stage II Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Korba STPS
Korba Super Thermal Power Plant Stage II Unit 6,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Korba STPS
Korba Super Thermal Power Plant Stage III Unit 7,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Korba STPS
Korba West or Hasdeo TPS Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Korba West or Hasdeo TPS
Korba West or Hasdeo TPS Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Korba West or Hasdeo TPS
Korba West or Hasdeo TPS Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Korba West or Hasdeo TPS
Korba West or Hasdeo TPS Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Korba West or Hasdeo TPS
Korba West or Hasdeo TPS Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Korba West or Hasdeo TPS
Kota Super Thermal Power Plant or KTPS Stage I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,110,44,0.4,,,,,,,,,,,Kota TPS
Kota Super Thermal Power Plant or KTPS Stage I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,110,44,0.4,,,,,,,,,,,Kota TPS
Kota Super Thermal Power Plant or KTPS Stage II Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Kota TPS
Kota Super Thermal Power Plant or KTPS Stage II Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Kota TPS
Kota Super Thermal Power Plant or KTPS Stage III Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Kota TPS
Kota Super Thermal Power Plant or KTPS Stage IV Unit 6,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,195,78,0.4,,,,,,,,,,,Kota TPS
Kota Super Thermal Power Plant or KTPS Stage V Unit 7,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,195,78,0.4,,,,,,,,,,,Kota TPS
Kothagudem Thermal Power Station or Stage V Unit 9,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Kothagudem TPS
Kothagudem Thermal Power Station or Stage V Unit 10,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Kothagudem TPS
Kothagudem Thermal Power Station Stage VI Unit 11,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Kothagudem TPS
Kothagudem Thermal Power Station Stage VII Unit 12,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Kothagudem TPS
Kudgi STPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Kudgi STPP
Kudgi STPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Kudgi STPP
Kudgi STPP Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Kudgi STPP
Kundarkhi TPS Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,45,18,0.4,,,,,,,,,,,Kundarkhi TPS
Kundarkhi TPS Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,45,18,0.4,,,,,,,,,,,Kundarkhi TPS
Kutchh Lignite Thermal Power Station/ Kutch Lig. TPS Stage I Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,75,30,0.4,,,,,,,,,,,Kutchh Lignite TPS
Kutchh Lignite Thermal Power Station/ Kutch Lig. TPS Stage II Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,75,30,0.4,,,,,,,,,,,Kutchh Lignite TPS
Lalitpur TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Lalitpur TPP
Lalitpur TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Lalitpur TPP
Lalitpur TPP Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Lalitpur TPP
Lara Super Thermal Power Plant Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Lara STPS
Lara Super Thermal Power Plant Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Lara STPS
Maadurga Thermal Power (MTPCL) Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,30,12,0.4,,,,,,,,,,,Maadurga Thermal Power (MTPCL)
Maadurga Thermal Power (MTPCL) Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,30,12,0.4,,,,,,,,,,,Maadurga Thermal Power (MTPCL)
Mahadev Prasad Super Thermal Power Station or Jamshedpur Kandra power station/ AHUNIK Power & Nat. Res. Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,270,108,0.4,,,,,,,,,,,Mahadev Prasad or Jamshedpur Kandra STPP
Mahadev Prasad Super Thermal Power Station or Jamshedpur Kandra power station/ AHUNIK Power & Nat. Res. Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,270,108,0.4,,,,,,,,,,,Mahadev Prasad or Jamshedpur Kandra STPP
Mahan TPP Phase I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,600,240,0.4,,,,,,,,,,,Mahan TPP
Mahan TPP Phase I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,600,240,0.4,,,,,,,,,,,Mahan TPP
Mahatma Gandhi Thermal Power Station or Jhajjhar TPS Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Mahatma Gandhi TPS or Jhajjhar TPS
Mahatma Gandhi Thermal Power Station or Jhajjhar TPS Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Mahatma Gandhi TPS or Jhajjhar TPS
Maithon Right Bank TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,525,210,0.4,,,,,,,,,,,Maithon TPP
Maithon Right Bank TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,525,210,0.4,,,,,,,,,,,Maithon TPP
Maqsoodpur TPS Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,45,18,0.4,,,,,,,,,,,Maqsoodpur TPS
Maqsoodpur TPS Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,45,18,0.4,,,,,,,,,,,Maqsoodpur TPS
Marwa Thermal Power Plant/ MTTPS Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Marwa TPS
Marwa Thermal Power Plant/ MTTPS Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Marwa TPS
Mauda TPS Phase I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Mauda TPS
Mauda TPS Phase I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Mauda TPS
Mauda TPS Phase II Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Mauda TPS
Mauda TPS Phase II Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Mauda TPS
Meja STPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Meja STPP
Meja STPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Meja STPP
Mejia TPS Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Mejia TPS
